species,unit,individual,leaf.age,replicate,upper.count,lower.count,years.since.fire
serrep,56c,7,new,2,95,111,30
serrep,56c,7,old,1,105,103,30
serrep,56c,7,old,2,111,110,30
serrep,56c,8,new,1,74,89,30
serrep,56c,8,new,2,81,87,30
serrep,56c,8,old,1,74,80,30
serrep,56c,8,old,2,71,89,30
serrep,56c,9,new,1,64,73,30
serrep,56c,9,new,2,60,67,30
serrep,56c,9,old,1,73,86,30
serrep,56c,9,old,2,77,80,30
serrep,56c,10,new,1,76,87,30
serrep,56c,10,new,2,74,78,30
serrep,56c,10,old,1,65,66,30
serrep,56c,10,old,2,76,84,30
serrep,58e,1,new,1,104,102,3
serrep,58e,1,new,2,115,101,3
serrep,58e,1,old,1,94,95,3
serrep,58e,1,old,2,97,84,3
serrep,58e,2,new,1,114,115,3
serrep,58e,2,new,2,111,109,3
serrep,58e,2,old,1,105,89,3
serrep,58e,2,old,2,104,97,3
serrep,58e,3,new,1,110,119,3
serrep,58e,3,new,2,120,119,3
serrep,58e,3,old,1,99,97,3
serrep,58e,3,old,2,93,90,3
serrep,58e,4,new,1,92,93,3
serrep,58e,4,new,2,109,98,3
serrep,58e,4,old,1,124,106,3
serrep,58e,4,old,2,116,108,3
serrep,58e,5,new,1,116,119,3
serrep,58e,5,new,2,115,116,3
serrep,58e,5,old,1,105,65,3
serrep,58e,5,old,2,109,92,3
serrep,58e,6,new,1,83,86,3
serrep,58e,6,new,2,98,95,3
serrep,58e,6,old,1,91,100,3
serrep,58e,6,old,2,100,94,3
serrep,58e,7,new,1,86,73,3
serrep,58e,7,new,2,85,103,3
serrep,58e,7,old,1,87,88,3
serrep,58e,7,old,2,74,84,3
serrep,58e,8,new,1,92,81,3
serrep,58e,8,new,2,92,84,3
serrep,58e,8,old,1,96,87,3
serrep,58e,8,old,2,87,99,3
serrep,58e,9,new,1,88,102,3
serrep,58e,9,new,2,107,105,3
serrep,58e,9,old,1,76,88,3
serrep,58e,9,old,2,82,89,3
serrep,58e,10,new,1,94,92,3
serrep,58e,10,new,2,92,95,3
serrep,58e,10,old,1,84,91,3
serrep,58e,10,old,2,84,89,3
serrep,45,1,new,1,76,85,0.25
serrep,45,1,new,2,75,81,0.25
serrep,45,1,old,1,84,76,0.25
serrep,45,1,old,2,70,78,0.25
serrep,45,2,new,1,81,91,0.25
serrep,45,2,new,2,88,95,0.25
serrep,45,2,old,1,98,124,0.25
serrep,45,2,old,2,84,94,0.25
serrep,45,3,new,1,106,86,0.25
serrep,45,3,new,2,89,104,0.25
serrep,45,3,old,1,92,102,0.25
serrep,45,3,old,2,95,93,0.25
serrep,45,4,new,1,107,102,0.25
serrep,45,4,new,2,105,98,0.25
serrep,45,4,old,1,63,72,0.25
serrep,45,4,old,2,76,72,0.25
serrep,45,5,new,1,95,90,0.25
serrep,45,5,new,2,92,92,0.25
serrep,45,5,old,1,71,88,0.25
serrep,45,5,old,2,87,81,0.25
serrep,45,6,new,1,87,81,0.25
serrep,45,6,new,2,87,92,0.25
serrep,45,6,old,1,75,84,0.25
serrep,45,6,old,2,89,84,0.25
serrep,45,7,new,1,82,81,0.25
serrep,45,7,new,2,86,84,0.25
serrep,45,7,old,1,85,74,0.25
serrep,45,7,old,2,79,91,0.25
serrep,45,8,new,1,73,75,0.25
serrep,45,8,new,2,93,91,0.25
serrep,45,8,old,1,95,97,0.25
serrep,45,8,old,2,92,95,0.25
serrep,45,9,new,1,70,67,0.25
serrep,45,9,new,2,87,86,0.25
serrep,45,9,old,1,76,82,0.25
serrep,45,9,old,2,84,77,0.25
serrep,45,10,new,1,94,85,0.25
serrep,45,10,new,2,98,84,0.25
serrep,45,10,old,1,75,86,0.25
serrep,45,10,old,2,86,76,0.25
sabeto,38,1,new,1,57,63,0.25
sabeto,38,1,new,2,62,65,0.25
sabeto,38,1,old,1,50,60,0.25
sabeto,38,1,old,2,61,81,0.25
sabeto,38,2,new,1,70,72,0.25
sabeto,38,2,new,2,59,76,0.25
sabeto,38,2,old,1,64,83,0.25
sabeto,38,2,old,2,75,74,0.25
sabeto,38,3,new,1,70,80,0.25
sabeto,38,3,new,2,63,60,0.25
sabeto,38,3,old,1,68,78,0.25
sabeto,38,3,old,2,85,75,0.25
sabeto,38,4,new,1,73,74,0.25
sabeto,38,4,new,2,81,73,0.25
sabeto,38,4,old,1,83,88,0.25
sabeto,38,4,old,2,81,66,0.25
sabeto,38,5,new,1,75,68,0.25
sabeto,38,5,new,2,85,81,0.25
sabeto,38,5,old,1,77,93,0.25
sabeto,38,5,old,2,89,95,0.25
sabeto,38,6,new,1,71,77,0.25
sabeto,38,6,new,2,73,67,0.25
sabeto,38,6,old,1,54,43,0.25
sabeto,38,6,old,2,39,58,0.25
sabeto,38,7,new,1,67,73,0.25
sabeto,38,7,new,2,70,70,0.25
sabeto,38,7,old,1,91,86,0.25
sabeto,38,7,old,2,84,85,0.25
sabeto,38,8,new,1,66,66,0.25
sabeto,38,8,new,2,72,73,0.25
sabeto,38,8,old,1,84,86,0.25
sabeto,38,8,old,2,66,84,0.25
sabeto,38,9,new,1,69,68,0.25
sabeto,38,9,new,2,77,73,0.25
sabeto,38,9,old,1,58,59,0.25
sabeto,38,9,old,2,49,68,0.25
sabeto,38,10,new,1,75,76,0.25
sabeto,38,10,new,2,56,61,0.25
sabeto,38,10,old,1,52,55,0.25
sabeto,38,10,old,2,63,62,0.25
sabeto,30a,1,new,1,61,77,13
sabeto,30a,1,new,2,57,66,13
sabeto,30a,1,old,1,67,78,13
sabeto,30a,1,old,2,68,82,13
