Genus,Species,Replicate,Amphistomy?,upper approx.,lower approx.,notes,,,,,,,,
quercus,minima,3,0,0,1,,,,,,,,,
quercus,myrtifolia,1,0,0,3,,,,,,,,,
quercus,myrtifolia,2,0,0,4,used capitalized,,,,,,,,
quercus,myrtifolia,3,0,0,3,,,,,,,,,
Rhus ,copallinum,1,0,0,3,,,,,,,,,
Rhus ,copallinum,2,0,0,3,,,,,,,,,
Rhus ,copallinum,3,0,0,3,,,,,,,,,
Rhynchosia ,cinerea,1,1,1,2,,,,,,,,,
Rhynchosia ,cinerea,2,1,1,2,,,,,,,,,
Rhynchospora,megalocarpa,1,0,0,4,,,,,,,,,
Rhynchospora,megalocarpa,2,0,0,4,,,,,,,,,
Rhynchospora,megalocarpa,3,0,0,4,,,,,,,,,
richardia,grandiflora,1,1,1,2,,,,,,,,,
richardia,grandiflora,2,1,1,2,,,,,,,,,
richardia,grandiflora,3,1,1,2,,,,,,,,,
Rubus,species,1,0,0,2,,,,,,,,,
Rubus,species,2,0,0,3,,,,,,,,,
Rubus,species,3,0,0,2,,,,,,,,,
salvia,lyra,1,1,1,3,,,,,,,,,
salvia,lyra,2,1,2,3,,,,,,,,,
salvia,lyra,3,1,1,3,,,,,,,,,
Schinus,teribithifolia,1,0,0,3,,,,,,,,,
Schinus,teribithifolia,2,0,0,3,,,,,,,,,
Seriocarpus,tortifolius,1,1,1,1,,,,,,,,,
Seriocarpus,tortifolius,2,1,1,1,,,,,,,,,
Seriocarpus,tortifolius,3,1,1,1,,,,,,,,,
Sideroxylon,tenax,1,0,0,4,,,,,,,,,
Sideroxylon,tenax,2,0,0,5,,,,,,,,,
Sideroxylon,tenax,3,0,0,4,,,,,,,,,
sisyrinchium,xerophyllum,1,1,2,1,,,,,,,,,
sisyrinchium,xerophyllum,2,1,1,2,,,,,,,,,
sisyrinchium,xerophyllum,3,1,1,1,,,,,,,,,
Smilax,ariculata,1,0,0,2,,,,,,,,,
Smilax,ariculata,2,0,0,1,,,,,,,,,
Smilax,bonanox,1,0,0,2,,,,,,,,,
Smilax,bonanox,2,0,0,1,,,,,,,,,
Smilax,bonanox,3,0,0,2,,,,,,,,,
Spermacoce,verticillata,1,1,1,3,,,,,,,,,
Spermacoce,verticillata,2,1,1,3,,,,,,,,,
Spermacoce,verticillata,3,1,1,3,,,,,,,,,
Tephrosia,mysteriosa,1,1,3,2,,,,,,,,,
Tephrosia,mysteriosa,2,1,3,2,,,,,,,,,
Tephrosia,mysteriosa,3,1,3,3,,,,,,,,,
Trichostema,bridgesii,1,1,1,2,,,,,,,,,
Trichostema,bridgesii,2,1,1,2,,,,,,,,,
Trichostema,bridgesii,3,1,2,3,,,,,,,,,
Vaccinium ,myrsintes,1,0,0,3,,,,,,,,,
Vaccinium ,myrsintes,2,0,0,4,,,,,,,,,
Vaccinium ,myrsintes,3,0,0,3,,,,,,,,,
Vaccinium ,darrowii,1,0,0,3,,,,,,,,,
Vaccinium ,darrowii,2,0,0,3,,,,,,,,,
Vaccinium ,darrowii,3,0,0,3,,,,,,,,,
Vigna,luteola,1,1,1,2,,,,,,,,,
Vigna,luteola,1,1,1,1,,,,,,,,,
Vigna,luteola,1,1,1,1,,,,,,,,,
Vitis,rotundifolia,1,0,0,3,,,,,,,,,
Vitis,rotundifolia,2,0,0,3,,,,,,,,,
Vitis,rotundifolia,3,0,0,3,,,,,,,,,
woodwardia,virginica,1,0,0,3,,,,,,,,,
woodwardia,virginica,2,0,0,2,,,,,,,,,
woodwardia,virginica,3,0,0,2,,,,,,,,,
Xymenia,americana,1,1,3,4,,,,,,,,,
Xymenia,americana,1,1,3,5,,,,,,,,,
Xymenia,americana,1,1,3,4,,,,,,,,,
Yucca,aloifolia,1,1,1,1,,,,,,,,,
Yucca,aloifolia,2,1,1,1,,,,,,,,,
Yucca,aloifolia,3,1,1,1,,,,,,,,,
Yucca,filamentosa,1,1,1,1,,,,,,,,,
Yucca,filamentosa,2,1,2,2,,,,,,,,,
Yucca,filamentosa,3,1,1,1,,,,,,,,,
Zamia,integrifolia,1,0,0,1,,,,,,,,,
Zamia,integrifolia,2,0,0,1,,,,,,,,,
zamia,integrifolia,3,0,0,2,,,,,,,,,
